torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,faltas_local,tiro_esquina_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,faltas_visitante,tiro_esquina_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante,valor_mercado_local,altura_media_local,edad_media_local,proporcion_zurdos_local,valor_mercado_visitante,altura_media_visitante,edad_media_visitante,proporcion_zurdos_visitante,resultado,fecha_encuentro,apuesta_local,apuesta_visitante,apuesta_empate
Campeonato 2015,2,15,Def y Justicia,San Lorenzo,1,2,,,,,,,,,,,,,,,12.05,1.7768888888888887,25.46,0.24,39.725,1.7830303030303032,26.62857142857143,0.2857142857142857,V,2015-02-23 21:10:00,2.56,2.95,2.93
Campeonato 2015,3,1,Arsenal,Nueva Chicago,1,1,,,,,,,,,,,,,,,27.25,1.7977083333333335,24.862745098039216,0.19607843137254902,8.15,1.796470588235294,26.142857142857142,0.22857142857142856,E,2015-02-27 18:00:00,1.95,4.24,3.1
Campeonato 2015,3,2,Godoy Cruz,Huracan,2,1,,,,,,,,,,,,,,,21.2,1.7921568627450981,23.754716981132077,0.22641509433962265,13.775,1.7783783783783782,27.63157894736842,0.18421052631578946,L,2015-02-27 21:10:00,1.79,4.84,3.27
Campeonato 2015,3,3,Tigre,Olimpo,1,0,,,,,,,,,,,,,,,18.5,1.8070731707317074,26.071428571428573,0.23809523809523808,12.97,1.791086956521739,25.020833333333332,0.25,L,2015-02-28 17:00:00,2.03,3.99,3.06
Campeonato 2015,3,4,Crucero (M),Rosario Central,0,1,,,,,,,,,,,,,,,4.4,1.7875,25.697674418604652,0.09302325581395349,18.35,1.7893333333333332,25.608695652173914,0.21739130434782608,V,2015-02-28 18:00:00,3.0,2.52,2.95
Campeonato 2015,3,5,Union,Lanus,1,1,,,,,,,,,,,,,,,7.95,1.7917073170731705,23.80952380952381,0.19047619047619047,30.62,1.8165853658536586,25.11904761904762,0.2619047619047619,E,2015-02-28 19:15:00,2.89,2.61,2.93
Campeonato 2015,3,6,Quilmes,Independiente,1,2,,,,,,,,,,,,,,,16.975,1.7925000000000002,25.244897959183675,0.1836734693877551,33.525,1.7817021276595744,25.595744680851062,0.2978723404255319,V,2015-02-28 20:10:00,2.92,2.56,2.93
Campeonato 2015,3,7,San Lorenzo,San Martin (SJ),1,2,,,,,,,,,,,,,,,39.725,1.7830303030303032,26.62857142857143,0.2857142857142857,11.25,1.78,26.153846153846153,0.20512820512820512,V,2015-02-28 20:30:00,1.63,5.77,3.53
Campeonato 2015,3,8,Gimnasia (LP),Estudiantes (LP),1,3,,,,,,,,,,,,,,,14.3,1.779318181818182,24.113636363636363,0.22727272727272727,37.65,1.8029411764705883,24.901960784313726,0.23529411764705882,V,2015-03-01 17:00:00,2.79,2.77,2.86
Campeonato 2015,3,9,Boca Juniors,Atl Rafaela,1,0,,,,,,,,,,,,,,,80.925,1.7951020408163267,24.92,0.2,17.075,1.8061363636363637,24.708333333333332,0.14583333333333334,L,2015-03-01 18:15:00,1.37,8.65,4.48
